Geographic Area Name,Meaning of NAICS code,Meaning of Sex code,Meaning of Ethnicity code,Meaning of Race code,Meaning of Veteran code,Year,Number of employer firms,"Sales, value of shipments, or revenue of employer firms ($1,000)",Number of employees,"Annual payroll ($1,000)",Relative standard error of employer firms (%)
Maryland,Total for all sectors,Equally male/female,Total,White,Total,2019,8836,W,85574,3657778,8.3
Maryland,Total for all sectors,Total,Hispanic,White,Total,2019,3245,U,31030,1131214,7.4
Maryland,Total for all sectors,Female,Hispanic,White,Total,2019,992,U,13622,411902,24.9
Maryland,Total for all sectors,Male,Hispanic,White,Total,2019,2030,U,15837,674451,13.4
Maryland,Total for all sectors,Equally male/female,Hispanic,White,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,2019,697,T,8833,326763,27.6
Maryland,Total for all sectors,Male,Equally Hispanic/non-Hispanic,White,Total,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,White,Total,2019,274,R,1993,94514,38.2
Maryland,Total for all sectors,Total,Non-Hispanic,White,Total,2019,72156,W,937921,50368047,1
Maryland,Total for all sectors,Female,Non-Hispanic,White,Total,2019,15794,W,174740,7748108,6.8
Maryland,Total for all sectors,Male,Non-Hispanic,White,Total,2019,48022,W,681171,39101537,2.5
Maryland,Total for all sectors,Equally male/female,Non-Hispanic,White,Total,2019,8338,W,82010,3518402,9.4
Maryland,Total for all sectors,Total,Total,Black or African American,Total,2019,7331,W,80366,3406135,9.1
Maryland,Total for all sectors,Female,Total,Black or African American,Total,2019,2835,U,25298,1148785,11.1
Maryland,Total for all sectors,Male,Total,Black or African American,Total,2019,3811,W,50868,2146214,11.3
Maryland,Total for all sectors,Equally male/female,Total,Black or African American,Total,2019,687,R,4199,111135,37.8
Maryland,Total for all sectors,Total,Hispanic,Black or African American,Total,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Female,Hispanic,Black or African American,Total,2019,D,D,250 to 499 employees,D,D
Maryland,Total for all sectors,Male,Hispanic,Black or African American,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Black or African American,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Black or African American,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,Black or African American,Total,2019,7176,W,79720,3390590,8.3
Maryland,Total for all sectors,Female,Non-Hispanic,Black or African American,Total,2019,2735,U,24841,1137082,10.1
Maryland,Total for all sectors,Male,Non-Hispanic,Black or African American,Total,2019,3793,W,50838,2145190,11.4
Maryland,Total for all sectors,Equally male/female,Non-Hispanic,Black or African American,Total,2019,650,R,4040,108318,36.9
Maryland,Total for all sectors,Total,Total,American Indian and Alaska Native,Total,2019,255,R,1129,73500,40.6
Maryland,Total for all sectors,Female,Total,American Indian and Alaska Native,Total,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Male,Total,American Indian and Alaska Native,Total,2019,132,R,729,56792,42.9
Maryland,Total for all sectors,Total,Hispanic,American Indian and Alaska Native,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Male,Hispanic,American Indian and Alaska Native,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,American Indian and Alaska Native,Total,2019,240,R,1103,72417,43.2
Maryland,Total for all sectors,Female,Non-Hispanic,American Indian and Alaska Native,Total,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Male,Non-Hispanic,American Indian and Alaska Native,Total,2019,117,R,702,55708,50
Maryland,Total for all sectors,Total,Total,Asian,Total,2019,14124,W,112838,4730270,3.5
Maryland,Total for all sectors,Female,Total,Asian,Total,2019,4191,U,27010,1300642,9.3
Maryland,Total for all sectors,Male,Total,Asian,Total,2019,7866,W,65319,2852572,7.3
Maryland,Total for all sectors,Equally male/female,Total,Asian,Total,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Total,Hispanic,Asian,Total,2019,D,D,250 to 499 employees,D,D
Maryland,Total for all sectors,Female,Hispanic,Asian,Total,2019,D,D,250 to 499 employees,D,D
Maryland,Total for all sectors,Male,Hispanic,Asian,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Asian,Total,2019,41,L,134,18296,119.2
Maryland,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Asian,Total,2019,41,L,134,18296,119.2
Maryland,Total for all sectors,Total,Non-Hispanic,Asian,Total,2019,14041,W,112330,4680572,3.7
Maryland,Total for all sectors,Female,Non-Hispanic,Asian,Total,2019,4158,U,26643,1269625,9.7
Maryland,Total for all sectors,Male,Non-Hispanic,Asian,Total,2019,7817,W,65177,2833891,7.4
Maryland,Total for all sectors,Equally male/female,Non-Hispanic,Asian,Total,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Total,2019,S,S,100 to 249 employees,S,S
Maryland,Total for all sectors,Female,Total,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Total,2019,S,S,100 to 249 employees,S,S
Maryland,Total for all sectors,Female,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Male,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Total,Minority,Total,2019,24847,W,224316,9292502,2.9
Maryland,Total for all sectors,Female,Total,Minority,Total,2019,8002,W,64975,2814921,6
Maryland,Total for all sectors,Male,Total,Minority,Total,2019,13827,W,132893,5738882,5.8
Maryland,Total for all sectors,Equally male/female,Total,Minority,Total,2019,3018,U,26447,738698,18.8
Maryland,Total for all sectors,Total,Total,Equally minority/nonminority,Total,2019,1742,U,29173,943286,16.8
Maryland,Total for all sectors,Female,Total,Equally minority/nonminority,Total,2019,S,S,500 to 999 employees,S,S
Maryland,Total for all sectors,Male,Total,Equally minority/nonminority,Total,2019,734,U,11312,483095,23.7
Maryland,Total for all sectors,Equally male/female,Total,Equally minority/nonminority,Total,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Total,Total,Nonminority,Total,2019,71178,W,926053,49956119,1.3
Maryland,Total for all sectors,Female,Total,Nonminority,Total,2019,15469,W,172728,7652569,6.9
Maryland,Total for all sectors,Male,Total,Nonminority,Total,2019,47666,W,673701,38853365,2.7
Maryland,Total for all sectors,Equally male/female,Total,Nonminority,Total,2019,8041,W,79625,3450185,9.1
Maryland,Total for all sectors,Total,Total,Total,Veteran,2019,6948,W,95753,5327197,7.3
Maryland,Total for all sectors,Female,Total,Total,Veteran,2019,S,S,"2,500 to 4,999 employees",S,S
Maryland,Total for all sectors,Male,Total,Total,Veteran,2019,6615,W,92365,4908217,7.5
Maryland,Total for all sectors,Equally male/female,Total,Total,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Hispanic,Total,Veteran,2019,101,O,614,38295,70.1
Maryland,Total for all sectors,Female,Hispanic,Total,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Male,Hispanic,Total,Veteran,2019,99,O,488,30410,71.5
Maryland,Total for all sectors,Total,Non-Hispanic,Total,Veteran,2019,6848,W,95139,5288902,7.2
Maryland,Total for all sectors,Female,Non-Hispanic,Total,Veteran,2019,S,S,"2,500 to 4,999 employees",S,S
Maryland,Total for all sectors,Male,Non-Hispanic,Total,Veteran,2019,6516,W,91877,4877807,7.4
Maryland,Total for all sectors,Equally male/female,Non-Hispanic,Total,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Total,White,Veteran,2019,6013,W,84270,4591595,8.7
Maryland,Total for all sectors,Female,Total,White,Veteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Male,Total,White,Veteran,2019,5841,W,82292,4303997,9.5
Maryland,Total for all sectors,Equally male/female,Total,White,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Total,Hispanic,White,Veteran,2019,96,O,598,37885,74.7
Maryland,Total for all sectors,Total,Non-Hispanic,White,Veteran,2019,5918,W,83672,4553711,8.5
Maryland,Total for all sectors,Total,Total,Black or African American,Veteran,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Total for all sectors,Female,Total,Black or African American,Veteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Male,Total,Black or African American,Veteran,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Total for all sectors,Total,Hispanic,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,Black or African American,Veteran,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Total for all sectors,Total,Total,American Indian and Alaska Native,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Female,Total,American Indian and Alaska Native,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Male,Total,American Indian and Alaska Native,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Hispanic,American Indian and Alaska Native,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,American Indian and Alaska Native,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Total,Asian,Veteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Female,Total,Asian,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Male,Total,Asian,Veteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Equally male/female,Total,Asian,Veteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Hispanic,Asian,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,Asian,Veteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Total for all sectors,Total,Total,Minority,Veteran,2019,1074,U,12159,778555,20.9
Maryland,Total for all sectors,Total,Total,Nonminority,Veteran,2019,5875,W,83594,4548642,8.6
Maryland,Total for all sectors,Total,Total,Total,Equally veteran/nonveteran,2019,2579,W,47933,2508182,16.8
Maryland,Total for all sectors,Female,Total,Total,Equally veteran/nonveteran,2019,D,D,"1,000 to 2,499 employees",D,D
Maryland,Total for all sectors,Male,Total,Total,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Equally male/female,Total,Total,Equally veteran/nonveteran,2019,S,S,"25,000 to 49,999 employees",S,S
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Total for all sectors,Total,Non-Hispanic,Total,Equally veteran/nonveteran,2019,2423,W,47128,2482242,17.9
Maryland,Total for all sectors,Female,Non-Hispanic,Total,Equally veteran/nonveteran,2019,D,D,"1,000 to 2,499 employees",D,D
Maryland,Total for all sectors,Male,Non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Equally male/female,Non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,"25,000 to 49,999 employees",S,S
Maryland,Total for all sectors,Total,Total,White,Equally veteran/nonveteran,2019,S,S,"25,000 to 49,999 employees",S,S
Maryland,Total for all sectors,Female,Total,White,Equally veteran/nonveteran,2019,D,D,"1,000 to 2,499 employees",D,D
Maryland,Total for all sectors,Male,Total,White,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Equally male/female,Total,White,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Total for all sectors,Total,Non-Hispanic,White,Equally veteran/nonveteran,2019,S,S,"25,000 to 49,999 employees",S,S
Maryland,Total for all sectors,Total,Total,Black or African American,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Total for all sectors,Equally male/female,Total,Black or African American,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Total for all sectors,Total,Non-Hispanic,Black or African American,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Total for all sectors,Total,Total,American Indian and Alaska Native,Equally veteran/nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Male,Total,American Indian and Alaska Native,Equally veteran/nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,American Indian and Alaska Native,Equally veteran/nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Total,Total,Asian,Equally veteran/nonveteran,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Equally male/female,Total,Asian,Equally veteran/nonveteran,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Total,Non-Hispanic,Asian,Equally veteran/nonveteran,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Total,Total,Minority,Equally veteran/nonveteran,2019,250,O,1215,38943,26.6
Maryland,Total for all sectors,Total,Total,Equally minority/nonminority,Equally veteran/nonveteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Total,Total,Nonminority,Equally veteran/nonveteran,2019,S,S,"25,000 to 49,999 employees",S,S
Maryland,Total for all sectors,Total,Total,Total,Nonveteran,2019,88241,W,1035856,52356529,0.7
Maryland,Total for all sectors,Female,Total,Total,Nonveteran,2019,23250,W,234204,10007110,5.2
Maryland,Total for all sectors,Male,Total,Total,Nonveteran,2019,54671,W,705810,38982436,1.6
Maryland,Total for all sectors,Equally male/female,Total,Total,Nonveteran,2019,10318,W,95842,3366983,10.9
Maryland,Total for all sectors,Total,Hispanic,Total,Nonveteran,2019,3293,U,31273,1136310,8.1
Maryland,Total for all sectors,Female,Hispanic,Total,Nonveteran,2019,1120,U,14314,446068,24
Maryland,Total for all sectors,Male,Hispanic,Total,Nonveteran,2019,1950,U,15388,645380,13.9
Maryland,Total for all sectors,Equally male/female,Hispanic,Total,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,663,T,8590,327258,11.7
Maryland,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,355,R,2419,102577,28.2
Maryland,Total for all sectors,Total,Non-Hispanic,Total,Nonveteran,2019,84285,W,995993,50892961,1
Maryland,Total for all sectors,Female,Non-Hispanic,Total,Nonveteran,2019,22129,W,219891,9561042,5.5
Maryland,Total for all sectors,Male,Non-Hispanic,Total,Nonveteran,2019,52415,W,684250,38112376,1.9
Maryland,Total for all sectors,Equally male/female,Non-Hispanic,Total,Nonveteran,2019,9739,W,91852,3219543,11
Maryland,Total for all sectors,Total,Total,White,Nonveteran,2019,67854,W,858320,45012866,1
Maryland,Total for all sectors,Female,Total,White,Nonveteran,2019,16615,W,185227,7805868,6
Maryland,Total for all sectors,Male,Total,White,Nonveteran,2019,43719,W,602217,34552019,2.1
Maryland,Total for all sectors,Equally male/female,Total,White,Nonveteran,2019,7517,W,70877,2654979,11.1
Maryland,Total for all sectors,Total,Hispanic,White,Nonveteran,2019,3150,U,30432,1093330,8.6
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Nonveteran,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Total for all sectors,Total,Non-Hispanic,White,Nonveteran,2019,64162,W,819861,43618713,1.2
Maryland,Total for all sectors,Total,Total,Black or African American,Nonveteran,2019,6378,W,70363,2845879,10.9
Maryland,Total for all sectors,Female,Total,Black or African American,Nonveteran,2019,2648,U,24006,1018946,12
Maryland,Total for all sectors,Male,Total,Black or African American,Nonveteran,2019,3156,W,42762,1733809,11.9
Maryland,Total for all sectors,Equally male/female,Total,Black or African American,Nonveteran,2019,574,R,3595,93124,40.6
Maryland,Total for all sectors,Total,Hispanic,Black or African American,Nonveteran,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Black or African American,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,Black or African American,Nonveteran,2019,6234,W,69736,2830958,9.9
Maryland,Total for all sectors,Total,Total,American Indian and Alaska Native,Nonveteran,2019,221,R,908,56395,38
Maryland,Total for all sectors,Female,Total,American Indian and Alaska Native,Nonveteran,2019,S,S,250 to 499 employees,S,S
Maryland,Total for all sectors,Male,Total,American Indian and Alaska Native,Nonveteran,2019,123,R,531,42922,47.2
Maryland,Total for all sectors,Total,Hispanic,American Indian and Alaska Native,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,American Indian and Alaska Native,Nonveteran,2019,211,R,884,55525,38.9
Maryland,Total for all sectors,Total,Total,Asian,Nonveteran,2019,13849,W,110148,4527720,4
Maryland,Total for all sectors,Female,Total,Asian,Nonveteran,2019,4160,U,26770,1299954,9.3
Maryland,Total for all sectors,Male,Total,Asian,Nonveteran,2019,7722,W,63433,2666156,7.8
Maryland,Total for all sectors,Equally male/female,Total,Asian,Nonveteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Total for all sectors,Total,Hispanic,Asian,Nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Asian,Nonveteran,2019,41,L,134,18296,119.2
Maryland,Total for all sectors,Total,Non-Hispanic,Asian,Nonveteran,2019,13772,W,109642,4478235,4.2
Maryland,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Nonveteran,2019,S,S,100 to 249 employees,S,S
Maryland,Total for all sectors,Female,Total,Native Hawaiian and Other Pacific Islander,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Total for all sectors,Total,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Nonveteran,2019,S,S,100 to 249 employees,S,S
Maryland,Total for all sectors,Total,Total,Minority,Nonveteran,2019,23525,W,210941,8475003,3.1
Maryland,Total for all sectors,Total,Total,Equally minority/nonminority,Nonveteran,2019,1456,U,16650,660614,15.7
Maryland,Total for all sectors,Total,Total,Nonminority,Nonveteran,2019,63258,W,808265,43220912,1.5
Maryland,Total for all sectors,Classifiable,Classifiable,Classifiable,Classifiable,2019,97768,W,1179542,60191907,0.5
Maryland,Total for all sectors,Unclassifiable,Unclassifiable,Unclassifiable,Unclassifiable,2019,5875,W,1120764,71651309,3
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,Total,Total,2019,469,R,1981,88143,63
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Total,Total,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,Total,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,"Agriculture, forestry, fishing and hunting(660)",Equally male/female,Total,Total,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Non-Hispanic,Total,Total,2019,462,R,1909,85338,63.9
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Non-Hispanic,Total,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Non-Hispanic,Total,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,"Agriculture, forestry, fishing and hunting(660)",Equally male/female,Non-Hispanic,Total,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,White,Total,2019,462,R,1909,85338,63.9
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Total,White,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,White,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,"Agriculture, forestry, fishing and hunting(660)",Equally male/female,Total,White,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Non-Hispanic,White,Total,2019,462,R,1909,85338,63.9
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Non-Hispanic,White,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Non-Hispanic,White,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,"Agriculture, forestry, fishing and hunting(660)",Equally male/female,Non-Hispanic,White,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,0 to 19 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,0 to 19 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,0 to 19 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,0 to 19 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,Minority,Total,2019,D,D,0 to 19 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,Minority,Total,2019,D,D,0 to 19 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,Nonminority,Total,2019,459,R,1909,85319,64.4
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Total,Nonminority,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,Nonminority,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,"Agriculture, forestry, fishing and hunting(660)",Equally male/female,Total,Nonminority,Total,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,Total,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,Total,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Non-Hispanic,Total,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Non-Hispanic,Total,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,White,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,White,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Non-Hispanic,White,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,Nonminority,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,Total,Nonveteran,2019,451,R,1888,83425,64.5
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Total,Total,Nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,Total,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,"Agriculture, forestry, fishing and hunting(660)",Equally male/female,Total,Total,Nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Non-Hispanic,Total,Nonveteran,2019,451,R,1888,83425,64.5
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Non-Hispanic,Total,Nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Non-Hispanic,Total,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,"Agriculture, forestry, fishing and hunting(660)",Equally male/female,Non-Hispanic,Total,Nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Total,Total,White,Nonveteran,2019,451,R,1888,83425,64.5
Maryland,"Agriculture, forestry, fishing and hunting(660)",Female,Total,White,Nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,"Agriculture, forestry, fishing and hunting(660)",Male,Total,White,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
