periodicity,periodicity_label.value,geography,geography_label.value,ind_level,industry,industry_label.value,ownercode_label.value,sex_label.value,race,race_label.value,ethnicity,ethnicity_label.value,education,education_label.value,firmage,firmage_label.value,firmsize,firmsize_label.value,year,quarter,Emp,EmpEnd,sEmp,sEmpEnd
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,11465,11444,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,1328,1340,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,145327,145685,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,16764,17100,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,11678,11939,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,1296,1371,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,155065,153401,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,17747,17845,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,13020,12829,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,1517,1506,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,156205,,1,-1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,18048,,1,-1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,13481,,1,-1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,1571,,1,-1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,12061,11237,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,1923,1837,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,673,682,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,86,80,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,11401,11485,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,1823,1873,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,692,703,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,73,79,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,12162,12390,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,1952,1974,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,812,799,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,90,91,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,12039,11964,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,1874,1895,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,839,858,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2020,4,88,100,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,12095,12035,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,1804,1855,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,1002,974,1,1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2021,4,121,116,1,1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,12296,,1,-1
Q,Quarterly data,24510,"Baltimore, MD",A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,1892,,1,-1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,981,,1,-1
Q,Quarterly data,24510,"Baltimore, MD",S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2022,2,115,,1,-1
