geography,geography_label.value,industry,industry_label.value,ownercode,race_label.value,ethnicity,ethnicity_label.value,year,EmpS
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,Black or African American Alone,A2,Hispanic or Latino,2018,
24,Maryland,0,All NAICS Sectors,A05,All Races,A0,All Ethnicities,2018,1929334
24,Maryland,0,All NAICS Sectors,A05,All Races,A2,Hispanic or Latino,2018,162543
24,Maryland,0,All NAICS Sectors,A05,White Alone,A0,All Ethnicities,2018,1226284
24,Maryland,0,All NAICS Sectors,A05,White Alone,A2,Hispanic or Latino,2018,129705
24,Maryland,0,All NAICS Sectors,A05,Black or African American Alone,A0,All Ethnicities,2018,513264
24,Maryland,0,All NAICS Sectors,A05,Black or African American Alone,A2,Hispanic or Latino,2018,15224
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A0,All Ethnicities,2019,4484
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A2,Hispanic or Latino,2019,78
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A0,All Ethnicities,2019,2492
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A2,Hispanic or Latino,2019,48
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A0,All Ethnicities,2019,1900
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A2,Hispanic or Latino,2019,17
24,Maryland,4931,Warehousing and Storage,A05,All Races,A0,All Ethnicities,2019,20617
24,Maryland,4931,Warehousing and Storage,A05,All Races,A2,Hispanic or Latino,2019,1504
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A0,All Ethnicities,2019,8652
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A2,Hispanic or Latino,2019,1085
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A0,All Ethnicities,2019,10290
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A2,Hispanic or Latino,2019,222
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A0,All Ethnicities,2019,1679
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A2,Hispanic or Latino,2019,71
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A0,All Ethnicities,2019,1217
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A2,Hispanic or Latino,2019,59
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A0,All Ethnicities,2019,348
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A2,Hispanic or Latino,2019,7
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A0,All Ethnicities,2019,3396
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A2,Hispanic or Latino,2019,150
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A0,All Ethnicities,2019,2145
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A2,Hispanic or Latino,2019,115
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A0,All Ethnicities,2019,651
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A2,Hispanic or Latino,2019,10
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A0,All Ethnicities,2019,71587
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A2,Hispanic or Latino,2019,3408
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A0,All Ethnicities,2019,44404
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A2,Hispanic or Latino,2019,2573
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A0,All Ethnicities,2019,13343
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A2,Hispanic or Latino,2019,354
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A0,All Ethnicities,2019,40457
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A2,Hispanic or Latino,2019,2315
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A0,All Ethnicities,2019,27038
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A2,Hispanic or Latino,2019,1842
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A0,All Ethnicities,2019,8303
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A2,Hispanic or Latino,2019,230
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A0,All Ethnicities,2019,32522
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A2,Hispanic or Latino,2019,1818
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A0,All Ethnicities,2019,22293
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A2,Hispanic or Latino,2019,1481
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A0,All Ethnicities,2019,4717
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A2,Hispanic or Latino,2019,148
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A0,All Ethnicities,2019,11993
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A2,Hispanic or Latino,2019,732
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A0,All Ethnicities,2019,9563
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A2,Hispanic or Latino,2019,592
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A0,All Ethnicities,2019,1521
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A2,Hispanic or Latino,2019,68
24,Maryland,7111,Performing Arts Companies,A05,All Races,A0,All Ethnicities,2019,1744
24,Maryland,7111,Performing Arts Companies,A05,All Races,A2,Hispanic or Latino,2019,106
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A0,All Ethnicities,2019,1342
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A2,Hispanic or Latino,2019,85
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A0,All Ethnicities,2019,261
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A2,Hispanic or Latino,2019,9
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A0,All Ethnicities,2019,482
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A2,Hispanic or Latino,2019,18
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,White Alone,A0,All Ethnicities,2019,373
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,White Alone,A2,Hispanic or Latino,2019,13
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,Black or African American Alone,A0,All Ethnicities,2019,74
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,Black or African American Alone,A2,Hispanic or Latino,2019,
24,Maryland,0,All NAICS Sectors,A05,All Races,A0,All Ethnicities,2019,1950387
24,Maryland,0,All NAICS Sectors,A05,All Races,A2,Hispanic or Latino,2019,169228
24,Maryland,0,All NAICS Sectors,A05,White Alone,A0,All Ethnicities,2019,1232889
24,Maryland,0,All NAICS Sectors,A05,White Alone,A2,Hispanic or Latino,2019,135185
24,Maryland,0,All NAICS Sectors,A05,Black or African American Alone,A0,All Ethnicities,2019,522791
24,Maryland,0,All NAICS Sectors,A05,Black or African American Alone,A2,Hispanic or Latino,2019,15816
24,Maryland,0,All NAICS Sectors,A05,All Races,A0,All Ethnicities,2020,1788614
24,Maryland,0,All NAICS Sectors,A05,All Races,A2,Hispanic or Latino,2020,157184
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A0,All Ethnicities,2020,3933
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A2,Hispanic or Latino,2020,79
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A0,All Ethnicities,2020,2150
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A2,Hispanic or Latino,2020,45
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A0,All Ethnicities,2020,1680
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A2,Hispanic or Latino,2020,22
24,Maryland,4931,Warehousing and Storage,A05,All Races,A0,All Ethnicities,2020,24454
24,Maryland,4931,Warehousing and Storage,A05,All Races,A2,Hispanic or Latino,2020,1935
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A0,All Ethnicities,2020,10341
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A2,Hispanic or Latino,2020,1428
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A0,All Ethnicities,2020,11840
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A2,Hispanic or Latino,2020,273
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A0,All Ethnicities,2020,1512
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A2,Hispanic or Latino,2020,60
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A0,All Ethnicities,2020,1111
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A2,Hispanic or Latino,2020,52
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A0,All Ethnicities,2020,319
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A2,Hispanic or Latino,2020,4
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A0,All Ethnicities,2020,3026
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A2,Hispanic or Latino,2020,149
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A0,All Ethnicities,2020,1928
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A2,Hispanic or Latino,2020,114
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A0,All Ethnicities,2020,546
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A2,Hispanic or Latino,2020,10
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A0,All Ethnicities,2020,73668
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A2,Hispanic or Latino,2020,3616
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A0,All Ethnicities,2020,44999
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A2,Hispanic or Latino,2020,2735
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A0,All Ethnicities,2020,14280
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A2,Hispanic or Latino,2020,378
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A0,All Ethnicities,2020,41241
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A2,Hispanic or Latino,2020,2414
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A0,All Ethnicities,2020,27318
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A2,Hispanic or Latino,2020,1920
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A0,All Ethnicities,2020,8542
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A2,Hispanic or Latino,2020,223
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A0,All Ethnicities,2020,36424
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A2,Hispanic or Latino,2020,2148
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A0,All Ethnicities,2020,24514
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A2,Hispanic or Latino,2020,1738
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A0,All Ethnicities,2020,5566
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A2,Hispanic or Latino,2020,175
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A0,All Ethnicities,2020,11767
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A2,Hispanic or Latino,2020,734
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A0,All Ethnicities,2020,9382
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A2,Hispanic or Latino,2020,588
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A0,All Ethnicities,2020,1461
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A2,Hispanic or Latino,2020,74
24,Maryland,7111,Performing Arts Companies,A05,All Races,A0,All Ethnicities,2020,624
24,Maryland,7111,Performing Arts Companies,A05,All Races,A2,Hispanic or Latino,2020,37
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A0,All Ethnicities,2020,510
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A2,Hispanic or Latino,2020,30
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A0,All Ethnicities,2020,69
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A2,Hispanic or Latino,2020,3
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A0,All Ethnicities,2020,315
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A2,Hispanic or Latino,2020,12
