Geographical area,Industry,Race/ ethinicity,Ethnicity,Year,Employees
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2017,1669
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2017,7596
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2017,225
Maryland,Scientific Research and Development Services,All Races,All Ethnicities,2017,30711
Maryland,Scientific Research and Development Services,All Races,Hispanic or Latino,2017,1554
Maryland,Scientific Research and Development Services,White Alone,All Ethnicities,2017,21423
Maryland,Scientific Research and Development Services,White Alone,Hispanic or Latino,2017,1262
Maryland,Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2017,4321
Maryland,Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2017,123
Maryland,"Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2017,11355
Maryland,"Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2017,663
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2017,9042
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2017,518
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2017,1484
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2017,76
Maryland,Performing Arts Companies,All Races,All Ethnicities,2017,1893
Maryland,Performing Arts Companies,All Races,Hispanic or Latino,2017,127
Maryland,Performing Arts Companies,White Alone,All Ethnicities,2017,1482
Maryland,Performing Arts Companies,White Alone,Hispanic or Latino,2017,107
Maryland,Performing Arts Companies,Black or African American Alone,All Ethnicities,2017,276
Maryland,Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2017,6
Maryland,"Independent Artists, Writers, and Performers",All Races,All Ethnicities,2017,565
Maryland,"Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2017,22
Maryland,"Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2017,422
Maryland,"Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2017,16
Maryland,"Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2017,108
Maryland,All NAICS Sectors,All Races,All Ethnicities,2017,1913632
Maryland,All NAICS Sectors,All Races,Hispanic or Latino,2017,156001
Maryland,All NAICS Sectors,White Alone,All Ethnicities,2017,1223297
Maryland,All NAICS Sectors,White Alone,Hispanic or Latino,2017,124186
Maryland,All NAICS Sectors,Black or African American Alone,All Ethnicities,2017,505685
Maryland,All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2017,14790
Maryland,Support Activities for Water Transportation,All Races,All Ethnicities,2018,4104
Maryland,Support Activities for Water Transportation,All Races,Hispanic or Latino,2018,68
Maryland,Support Activities for Water Transportation,White Alone,All Ethnicities,2018,2325
Maryland,Support Activities for Water Transportation,White Alone,Hispanic or Latino,2018,46
Maryland,Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2018,1700
Maryland,Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2018,12
Maryland,Warehousing and Storage,All Races,All Ethnicities,2018,18192
Maryland,Warehousing and Storage,All Races,Hispanic or Latino,2018,1295
Maryland,Warehousing and Storage,White Alone,All Ethnicities,2018,8764
Maryland,Warehousing and Storage,White Alone,Hispanic or Latino,2018,950
Maryland,Warehousing and Storage,Black or African American Alone,All Ethnicities,2018,7785
Maryland,Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2018,179
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2018,2220
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2018,109
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2018,1589
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2018,90
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2018,454
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2018,10
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2018,3072
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2018,134
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2018,1910
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2018,99
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2018,595
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2018,13
Maryland,Computer Systems Design and Related Services,All Races,All Ethnicities,2018,67217
Maryland,Computer Systems Design and Related Services,All Races,Hispanic or Latino,2018,3107
Maryland,Computer Systems Design and Related Services,White Alone,All Ethnicities,2018,41741
Maryland,Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2018,2361
Maryland,Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2018,12207
Maryland,Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2018,306
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2018,39173
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2018,2257
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2018,26493
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2018,1793
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2018,7768
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2018,225
Maryland,Scientific Research and Development Services,All Races,All Ethnicities,2018,31961
Maryland,Scientific Research and Development Services,All Races,Hispanic or Latino,2018,1694
Maryland,Scientific Research and Development Services,White Alone,All Ethnicities,2018,22178
Maryland,Scientific Research and Development Services,White Alone,Hispanic or Latino,2018,1381
Maryland,Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2018,4472
Maryland,Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2018,128
Maryland,"Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2018,11655
Maryland,"Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2018,677
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2018,9382
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2018,531
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2018,1412
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2018,76
Maryland,Performing Arts Companies,All Races,All Ethnicities,2018,1826
Maryland,Performing Arts Companies,All Races,Hispanic or Latino,2018,123
Maryland,Performing Arts Companies,White Alone,All Ethnicities,2018,1401
Maryland,Performing Arts Companies,White Alone,Hispanic or Latino,2018,101
Maryland,Performing Arts Companies,Black or African American Alone,All Ethnicities,2018,276
Maryland,Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2018,9
Maryland,"Independent Artists, Writers, and Performers",All Races,All Ethnicities,2018,529
Maryland,"Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2018,23
Maryland,"Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2018,402
Maryland,"Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2018,17
Maryland,"Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2018,87
Maryland,All NAICS Sectors,All Races,All Ethnicities,2018,1929334
Maryland,All NAICS Sectors,All Races,Hispanic or Latino,2018,162543
Maryland,All NAICS Sectors,White Alone,All Ethnicities,2018,1226284
Maryland,All NAICS Sectors,White Alone,Hispanic or Latino,2018,129705
Maryland,All NAICS Sectors,Black or African American Alone,All Ethnicities,2018,513264
Maryland,All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2018,15224
Maryland,Support Activities for Water Transportation,All Races,All Ethnicities,2019,4484
Maryland,Support Activities for Water Transportation,All Races,Hispanic or Latino,2019,78
Maryland,Support Activities for Water Transportation,White Alone,All Ethnicities,2019,2492
Maryland,Support Activities for Water Transportation,White Alone,Hispanic or Latino,2019,48
Maryland,Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2019,1900
Maryland,Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2019,17
Maryland,Warehousing and Storage,All Races,All Ethnicities,2019,20617
Maryland,Warehousing and Storage,All Races,Hispanic or Latino,2019,1504
Maryland,Warehousing and Storage,White Alone,All Ethnicities,2019,8652
Maryland,Warehousing and Storage,White Alone,Hispanic or Latino,2019,1085
Maryland,Warehousing and Storage,Black or African American Alone,All Ethnicities,2019,10290
Maryland,Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2019,222
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2019,1679
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2019,71
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2019,1217
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2019,59
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2019,348
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2019,7
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2019,3396
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2019,150
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2019,2145
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2019,115
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2019,651
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2019,10
Maryland,Computer Systems Design and Related Services,All Races,All Ethnicities,2019,71587
Maryland,Computer Systems Design and Related Services,All Races,Hispanic or Latino,2019,3408
Maryland,Computer Systems Design and Related Services,White Alone,All Ethnicities,2019,44404
Maryland,Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2019,2573
Maryland,Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2019,13343
Maryland,Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2019,354
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2019,40457
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2019,2315
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2019,27038
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2019,1842
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2019,8303
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2019,230
Maryland,Scientific Research and Development Services,All Races,All Ethnicities,2019,32522
Maryland,Scientific Research and Development Services,All Races,Hispanic or Latino,2019,1818
Maryland,Scientific Research and Development Services,White Alone,All Ethnicities,2019,22293
Maryland,Scientific Research and Development Services,White Alone,Hispanic or Latino,2019,1481
Maryland,Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2019,4717
Maryland,Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2019,148
Maryland,"Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2019,11993
Maryland,"Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2019,732
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2019,9563
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2019,592
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2019,1521
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2019,68
Maryland,Performing Arts Companies,All Races,All Ethnicities,2019,1744
Maryland,Performing Arts Companies,All Races,Hispanic or Latino,2019,106
Maryland,Performing Arts Companies,White Alone,All Ethnicities,2019,1342
Maryland,Performing Arts Companies,White Alone,Hispanic or Latino,2019,85
Maryland,Performing Arts Companies,Black or African American Alone,All Ethnicities,2019,261
Maryland,Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2019,9
Maryland,"Independent Artists, Writers, and Performers",All Races,All Ethnicities,2019,482
Maryland,"Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2019,18
Maryland,"Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2019,373
Maryland,"Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2019,13
Maryland,"Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2019,74
Maryland,All NAICS Sectors,All Races,All Ethnicities,2019,1950387
Maryland,All NAICS Sectors,All Races,Hispanic or Latino,2019,169228
Maryland,All NAICS Sectors,White Alone,All Ethnicities,2019,1232889
Maryland,All NAICS Sectors,White Alone,Hispanic or Latino,2019,135185
Maryland,All NAICS Sectors,Black or African American Alone,All Ethnicities,2019,522791
Maryland,All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2019,15816
Maryland,All NAICS Sectors,All Races,All Ethnicities,2020,1788614
Maryland,All NAICS Sectors,All Races,Hispanic or Latino,2020,157184
Maryland,Support Activities for Water Transportation,All Races,All Ethnicities,2020,3933
Maryland,Support Activities for Water Transportation,All Races,Hispanic or Latino,2020,79
Maryland,Support Activities for Water Transportation,White Alone,All Ethnicities,2020,2150
Maryland,Support Activities for Water Transportation,White Alone,Hispanic or Latino,2020,45
Maryland,Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2020,1680
Maryland,Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2020,22
Maryland,Warehousing and Storage,All Races,All Ethnicities,2020,24454
Maryland,Warehousing and Storage,All Races,Hispanic or Latino,2020,1935
Maryland,Warehousing and Storage,White Alone,All Ethnicities,2020,10341
Maryland,Warehousing and Storage,White Alone,Hispanic or Latino,2020,1428
Maryland,Warehousing and Storage,Black or African American Alone,All Ethnicities,2020,11840
Maryland,Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2020,273
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2020,1512
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2020,60
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2020,1111
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2020,52
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2020,319
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2020,4
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2020,3026
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2020,149
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2020,1928
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2020,114
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2020,546
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2020,10
Maryland,Computer Systems Design and Related Services,All Races,All Ethnicities,2020,73668
Maryland,Computer Systems Design and Related Services,All Races,Hispanic or Latino,2020,3616
Maryland,Computer Systems Design and Related Services,White Alone,All Ethnicities,2020,44999
Maryland,Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2020,2735
Maryland,Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2020,14280
Maryland,Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2020,378
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2020,41241
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2020,2414
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2020,27318
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2020,1920
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2020,8542
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2020,223
Maryland,Scientific Research and Development Services,All Races,All Ethnicities,2020,36424
Maryland,Scientific Research and Development Services,All Races,Hispanic or Latino,2020,2148
Maryland,Scientific Research and Development Services,White Alone,All Ethnicities,2020,24514
Maryland,Scientific Research and Development Services,White Alone,Hispanic or Latino,2020,1738
Maryland,Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2020,5566
Maryland,Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2020,175
Maryland,"Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2020,11767
Maryland,"Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2020,734
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2020,9382
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2020,588
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2020,1461
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2020,74
Maryland,Performing Arts Companies,All Races,All Ethnicities,2020,624
Maryland,Performing Arts Companies,All Races,Hispanic or Latino,2020,37
Maryland,Performing Arts Companies,White Alone,All Ethnicities,2020,510
Maryland,Performing Arts Companies,White Alone,Hispanic or Latino,2020,30
Maryland,Performing Arts Companies,Black or African American Alone,All Ethnicities,2020,69
Maryland,Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2020,3
Maryland,"Independent Artists, Writers, and Performers",All Races,All Ethnicities,2020,315
Maryland,"Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2020,12
Maryland,"Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2020,233
Maryland,"Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2020,7
Maryland,"Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2020,58
Maryland,All NAICS Sectors,White Alone,All Ethnicities,2020,1140416
Maryland,All NAICS Sectors,White Alone,Hispanic or Latino,2020,125971
Maryland,All NAICS Sectors,Black or African American Alone,All Ethnicities,2020,465195
Maryland,All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2020,14305
Maryland,Support Activities for Water Transportation,All Races,All Ethnicities,2021,4752
Maryland,Support Activities for Water Transportation,All Races,Hispanic or Latino,2021,102
Maryland,Support Activities for Water Transportation,White Alone,All Ethnicities,2021,2702
Maryland,Support Activities for Water Transportation,White Alone,Hispanic or Latino,2021,64
Maryland,Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2021,1920
Maryland,Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2021,23
Maryland,Warehousing and Storage,All Races,All Ethnicities,2021,10764
Maryland,Warehousing and Storage,All Races,Hispanic or Latino,2021,834
Maryland,Warehousing and Storage,White Alone,All Ethnicities,2021,5597
Maryland,Warehousing and Storage,White Alone,Hispanic or Latino,2021,635
Maryland,Warehousing and Storage,Black or African American Alone,All Ethnicities,2021,4207
Maryland,Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2021,97
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2021,1538
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2021,70
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2021,1136
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2021,61
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2021,313
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2021,5
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2021,3162
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2021,159
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2021,2005
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2021,119
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2021,570
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2021,15
Maryland,Computer Systems Design and Related Services,All Races,All Ethnicities,2021,73294
Maryland,Computer Systems Design and Related Services,All Races,Hispanic or Latino,2021,3771
Maryland,Computer Systems Design and Related Services,White Alone,All Ethnicities,2021,44248
Maryland,Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2021,2855
Maryland,Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2021,15272
Maryland,Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2021,404
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2021,42202
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2021,2597
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2021,27299
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2021,2067
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2021,9191
Maryland,"Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2021,246
Maryland,Scientific Research and Development Services,All Races,All Ethnicities,2021,38620
Maryland,Scientific Research and Development Services,All Races,Hispanic or Latino,2021,2446
Maryland,Scientific Research and Development Services,White Alone,All Ethnicities,2021,25563
Maryland,Scientific Research and Development Services,White Alone,Hispanic or Latino,2021,1970
Maryland,Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2021,6265
Maryland,Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2021,205
Maryland,"Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2021,13558
Maryland,"Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2021,902
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2021,10312
Maryland,"Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2021,728
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2021,2039
Maryland,"Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2021,78
Maryland,Performing Arts Companies,All Races,All Ethnicities,2021,1518
Maryland,Performing Arts Companies,All Races,Hispanic or Latino,2021,111
Maryland,Performing Arts Companies,White Alone,All Ethnicities,2021,1147
Maryland,Performing Arts Companies,White Alone,Hispanic or Latino,2021,87
Maryland,Performing Arts Companies,Black or African American Alone,All Ethnicities,2021,237
Maryland,Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2021,7
Maryland,"Independent Artists, Writers, and Performers",All Races,All Ethnicities,2021,410
Maryland,"Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2021,23
Maryland,"Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2021,307
Maryland,"Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2021,16
Maryland,"Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2021,72
Maryland,All NAICS Sectors,All Races,All Ethnicities,2021,1800695
Maryland,All NAICS Sectors,All Races,Hispanic or Latino,2021,163985
Maryland,All NAICS Sectors,White Alone,All Ethnicities,2021,1143053
Maryland,All NAICS Sectors,White Alone,Hispanic or Latino,2021,131516
